Sample_id,Field_ID,farms,Grid,pH [H2O],Classification ,Zr,Zr Error,Sr,Sr Error,Rb,Rb Error,Th,Th Error,Pb,Pb Error,As,As Error,Zn,Zn Error,Cu,Cu Error,Ni,Ni Error,Fe,Fe Error,Mn,Mn Error,Cr,Cr Error,V,V Error,Ti,Ti Error,Ca,Ca Error,K,K Error,S,S Error,Ba,Ba Error,Cs,Cs Error,Location_x,Location_y,,,,,,,,,,,,,
24,adumanafo 2c,adumanafo2,ksb68,6.41,Short_term,191.22,3.32,30.44,1.57,45.9,2.16,1.79,0.71,13.22,3.34,12.47,2.9,19.96,4.74,< LOD,11.55,< LOD,23.14,14227.85,134.97,306.34,35.66,19.42,10.61,48.38,17.03,3696.82,62.76,4666.4,94.53,9932.45,167.8,174.22,100.41,< LOD,28.62,< LOD,1.91,661914,748770,,,,,,,,,,,,,
25,adumanafo 3a,adumanafo3,ksb68,6.22,Short_term,154.55,3.07,44.41,1.82,89.25,2.87,1.48,0.73,16.63,3.49,11.19,2.97,20.92,4.88,< LOD,11.83,< LOD,23.45,9746.7,113.01,295.4,34.97,< LOD,13.6,45.08,13.82,2364.25,48.6,3750.4,84.46,17651.1,200.65,183.31,92.53,< LOD,27.66,< LOD,1.85,662083,748793,,,,,,,,,,,,,
26,adumanafo 3b,adumanafo3,ksb68,6.78,Short_term,147.36,2.99,45.4,1.82,82.22,2.74,1.42,0.71,11.85,3.27,16.76,2.97,16.73,4.64,< LOD,11.71,< LOD,22.83,8668.41,105.97,115.39,29.92,< LOD,13,38.74,13.03,2209.85,45.96,2973.41,77.17,18162.51,199.34,177.15,89.35,< LOD,28.45,< LOD,1.89,662101,748821,,,,,,,,,,,,,
27,adumanafo 3c,adumanafo3,ksb68,6.14,Short_term,159.5,3.14,49.05,1.91,95.69,2.97,2.49,0.77,15.32,3.47,11.77,2.98,17.05,4.71,< LOD,12.05,< LOD,23.12,9367.39,111.58,172.08,31.93,< LOD,13.27,50.41,13.62,2327.17,47.67,2879.81,76.92,18308.38,201.1,146.12,88.55,< LOD,27.69,< LOD,1.85,662085,748831,,,,,,,,,,,,,
28,agric_ref 1a,agric1,na,4.82,Long_term,203.13,3.41,13.22,1.22,13.74,1.45,1.94,0.7,5.06,3,8.33,2.58,16.51,4.63,< LOD,12.04,< LOD,24.08,20547.16,162.67,87.22,31.12,45.7,12.28,101.08,21.61,5506.15,80.3,1409.79,60.23,2652.39,103.73,< LOD,154.76,< LOD,28.98,< LOD,1.95,663105,740872,,,,,,,,,,,,,
29,agric_ref 1b,agric1,na,4.59,Long_term,216.9,3.62,13.94,1.28,16.77,1.59,1.84,0.73,6.2,3.17,11.73,2.81,15.27,4.87,< LOD,12.78,< LOD,25.41,28536,197.31,231.99,37.03,56.6,13.42,112.99,23.63,5676.65,87.34,837.72,56.88,3635.21,125.68,< LOD,175.07,< LOD,30.28,< LOD,2.03,663127,740927,,,,,,,,,,,,,
30,agric_ref 1c,agric1,na,5.21,Long_term,197.63,3.47,13.41,1.27,20.84,1.68,2,0.74,6.64,3.2,9.54,2.76,16.04,4.81,< LOD,12.8,< LOD,25.1,31648.13,207.07,62.65,32.57,53.99,13.79,119.45,23.2,5023.27,84.25,801.74,57.75,3826.86,130.7,< LOD,167.03,< LOD,29.22,< LOD,1.97,663136,740895,,,,,,,,,,,,,
31,agric_ref 2a,agric2,na,4.71,Long_term,229.3,3.68,13.73,1.27,26.65,1.82,1.51,0.71,7.32,3.18,10.16,2.77,18.91,4.94,< LOD,12.37,< LOD,25.24,22237.99,173.32,81.33,31.72,41.42,11.84,85.95,19.42,4381.28,71.25,576.27,47.72,4167.42,121.83,< LOD,144.76,< LOD,27.64,< LOD,1.88,663199,740910,,,,,,,,,,,,,
32,agric_ref 2b,agric2,na,5.03,Long_term,210.9,3.49,12.98,1.23,23.14,1.7,2.24,0.72,7.07,3.11,9.86,2.7,10.69,4.41,< LOD,11.64,< LOD,24.06,18624.06,155.88,95.61,31.28,38.83,11.46,91.81,18.46,4261.43,67.64,889.05,51.49,4122.66,118.23,< LOD,136.06,< LOD,28.51,< LOD,1.93,663232,740935,,,,,,,,,,,,,
33,agric_ref 2c,agric2,na,4.81,Long_term,250.38,3.72,13.48,1.22,25.46,1.73,1.92,0.7,8.95,3.15,6.98,2.63,11.74,4.51,< LOD,11.53,< LOD,23.55,16773.22,146.46,63.52,29.7,27.5,11.35,86.87,19.46,4818.04,72.37,521.1,45.04,3874.97,115.93,161.71,98.78,< LOD,28.42,< LOD,1.91,663246,740891,,,,,,,,,,,,,
34,agric_ref 3a,agric3,na,4.44,Long_term,222.87,3.53,14.26,1.24,27.98,1.79,2.37,0.72,8.13,3.12,7.68,2.63,18.46,4.73,< LOD,11.51,< LOD,23.35,16571.94,145.31,< LOD,42.99,22.87,10.89,72.38,18.78,4789.98,70.23,442.59,42.94,4394.33,118.15,< LOD,135.25,< LOD,28.45,< LOD,1.91,663272,740834,,,,,,,,,,,,,
35,agric_ref 3b,agric3,na,4.69,Long_term,209.32,3.43,18.63,1.34,28.93,1.81,1.7,0.69,9.86,3.17,7.66,2.67,9.35,4.37,< LOD,11.46,< LOD,23.18,14485.26,135.89,82.35,29.85,< LOD,15.64,54.08,17.76,4245.36,66.11,619.61,46.61,5652.29,128.89,< LOD,132.36,< LOD,27.97,< LOD,1.89,663213,740804,,,,,,,,,,,,,
36,agric_ref 3c,agric3,na,4.75,Long_term,183.32,3.2,10.57,1.14,19.7,1.58,1.62,0.67,10.36,3.15,5.09,2.58,12.26,4.37,< LOD,11.39,< LOD,23.15,11151.46,118.55,< LOD,41.85,< LOD,14.62,64.06,16.12,4025.74,60.03,362.7,37.98,4368.58,110.04,< LOD,118.82,< LOD,29.02,< LOD,1.94,663242,740750,,,,,,,,,,,,,
37,agric_ref 4a,agric4,ksb48,4.26,Long_term,290.61,3.95,9.95,1.14,11.47,1.37,2.12,0.7,7.76,3.1,6.53,2.58,13.24,4.51,< LOD,12.18,< LOD,23.64,15810.33,141.73,121.03,31.08,41.53,11.43,90.05,21.93,6989.29,84.37,524.98,41.45,1905.36,87.39,< LOD,136.83,< LOD,28.42,< LOD,1.91,663477,741113,,,,,,,,,,,,,
38,agric_ref 4b,agric4,ksb48,4.97,Long_term,234.16,3.56,7.54,1.06,8.83,1.27,1.29,0.65,< LOD,4.3,5.81,2.41,9.43,4.33,< LOD,11.47,< LOD,22.73,12789.66,126.94,72.2,29.14,18.61,10.3,73.46,18.01,4883.91,67.75,426.73,36.01,1687.7,78.67,< LOD,124.95,< LOD,27.48,< LOD,1.87,663489,741154,,,,,,,,,,,,,
39,agric_ref 4c,agric4,ksb48,4.46,Long_term,175.95,3.16,8.6,1.09,9.07,1.29,1.53,0.66,< LOD,4.34,< LOD,3.53,< LOD,6.24,< LOD,11.61,< LOD,23.3,12116.58,123.97,137.11,31.02,< LOD,14.63,65.01,16.21,3903.49,60.11,504.19,37.27,2053.18,82.62,< LOD,119.94,< LOD,29.98,< LOD,2,663445,741167,,,,,,,,,,,,,
40,agric_ref 5a,agric5,ksb48,5.01,Long_term,219.83,3.58,18.73,1.37,18.51,1.58,2.15,0.73,7.25,3.16,4.62,2.57,21.08,4.91,< LOD,12.35,< LOD,24.11,22988.7,173.91,177.91,34.16,43.7,12.47,96.33,21.64,5192.28,80.08,2099.79,71.87,3214.74,114.33,< LOD,159.05,< LOD,28.42,< LOD,1.92,663403,741148,,,,,,,,,,,,,
41,agric_ref 5b,agric5,ksb48,5.32,Long_term,244.75,3.7,15.12,1.27,13.46,1.44,2.71,0.73,< LOD,4.35,9.11,2.54,12.52,4.5,< LOD,11.41,< LOD,23.48,17471.55,150.19,144.52,32.3,33.2,11.44,93.25,20.68,5690.47,77.75,1515.67,59.21,2733.69,100.72,< LOD,138.66,< LOD,28.63,< LOD,1.93,663421,741116,,,,,,,,,,,,,
42,agric_ref 5c,agric5,ksb48,4.53,Long_term,236.54,3.58,8.58,1.09,9.63,1.31,2.07,0.68,< LOD,4.26,7.52,2.44,6.63,4.19,< LOD,11.47,< LOD,23.18,11730.25,121.63,117.99,30.52,30.32,10.18,60.7,18.34,5732.39,70.79,423.86,35.4,1759.74,78.21,< LOD,121.2,< LOD,29.23,< LOD,1.95,663464,741101,,,,,,,,,,,,,
43,agric_ref 6a,agric6,ksb48,4.79,Long_term,261.85,3.75,9.95,1.13,11.07,1.34,2.45,0.7,< LOD,4.3,6.04,2.41,11.36,4.4,< LOD,11.76,< LOD,23.35,14473.21,135.06,52.37,29.05,32.65,10.98,93.34,20.75,6526.57,79.28,557.72,40.88,2028.52,86.67,< LOD,129.49,< LOD,28.9,< LOD,1.94,663440,741052,,,,,,,,,,,,,
44,agric_ref 6b,agric6,ksb48,4.44,Long_term,200.01,3.37,8.91,1.11,10.52,1.35,1.74,0.68,< LOD,4.33,7.11,2.47,11.33,4.49,< LOD,11.53,< LOD,23.41,16790.25,146.8,149.13,32.34,34.5,11.36,88.07,19.67,5108.72,73.49,413.28,40.2,2508.16,96.7,< LOD,138.4,< LOD,29.37,< LOD,1.96,663379,741059,,,,,,,,,,,,,
45,agric_ref 6c,agric6,ksb48,5.49,Long_term,239.82,3.65,14.09,1.24,17.43,1.54,1.89,0.7,6.44,3.06,8.72,2.62,16,4.66,< LOD,12.05,< LOD,23.83,19649.61,158.47,239.83,34.88,45.68,12.15,93.78,20.92,5210.82,77.81,1998.92,68.43,2826.1,106.35,< LOD,154.95,< LOD,29.37,< LOD,1.97,663386,741107,,,,,,,,,,,,,
46,agric_ref 7a (abira),agric7,ksb69,5.05,rural,167.21,3.05,12.93,1.18,19.34,1.56,< LOD,0.94,5.34,2.88,4.94,2.39,9.84,4.25,< LOD,10.97,< LOD,22.86,7745.1,98.47,61.6,27.78,< LOD,12.53,44.49,12.82,2700.21,46.46,1531.16,49.93,4293.46,99.66,< LOD,109.27,< LOD,27.24,< LOD,1.83,666388,750657,,,,,,,,,,,,,
47,agric_ref 7b (abira),agric7,ksb69,6.81,rural,166.15,3.08,15.89,1.26,18.5,1.55,0.97,0.64,< LOD,4.16,9.3,2.46,< LOD,6.03,< LOD,11.63,< LOD,23.04,11998.51,123.12,< LOD,40.66,< LOD,14.52,52.05,14.64,2940.7,52.92,2435.53,65.38,4747.38,113.45,< LOD,122.25,< LOD,27.09,< LOD,1.84,666371,750628,,,,,,,,,,,,,
48,agric_ref 7c (abira),agric7,ksb69,5.96,rural,204.25,3.33,15.06,1.23,20.83,1.6,< LOD,0.94,4.87,2.88,5.23,2.4,12.37,4.38,< LOD,11.3,< LOD,22.53,10813.34,115.79,< LOD,40.8,< LOD,14.19,61.03,15.69,3907.4,58.19,2425.36,64.31,5110.98,114.77,159.29,85.1,< LOD,28.08,< LOD,1.89,666324,750626,,,,,,,,,,,,,
49,agric_ref 8a (abira),agric8,ksb69,5.54,rural,193.97,3.21,14.25,1.2,22.64,1.61,1.12,0.63,6.94,2.93,4.83,2.41,10.36,4.23,< LOD,10.95,< LOD,21.71,5777.84,84.59,< LOD,38.21,< LOD,12.24,43.38,12.74,2786.58,46.35,1221.33,46.97,5810.81,111.67,< LOD,97.39,< LOD,28.41,< LOD,1.9,666313,750442,,,,,,,,,,,,,
50,agric_ref 8b (abira),agric8,ksb69,4.39,rural,200.07,3.34,15.26,1.25,27.32,1.77,1.46,0.67,7.71,3.05,8.09,2.6,7.97,4.28,< LOD,11.09,< LOD,22.98,8177.32,102.24,< LOD,40.64,< LOD,13.2,47.57,13.67,3076.07,50,310.62,37.09,6588.35,121.86,< LOD,106.99,< LOD,29.9,< LOD,1.98,666343,750432,,,,,,,,,,,,,
51,agric_ref 8c (abira),agric8,ksb69,5.24,rural,271.91,3.76,13.92,1.21,22.61,1.64,1.06,0.64,8.45,3.03,6.11,2.52,9.15,4.23,< LOD,11.09,< LOD,22.2,8802.19,104.44,< LOD,40.47,< LOD,13.62,39.85,14.58,3259.15,53.73,1308.61,51.37,5443.83,116.39,< LOD,118.66,< LOD,28.36,< LOD,1.9,666352,750449,,,,,,,,,,,,,
52,agric_ref 9a (abira),agric9,ksb69,4.77,rural,168.15,3.06,10.09,1.12,22.05,1.63,1.33,0.65,7.11,2.98,8.19,2.55,9.03,4.26,< LOD,11.31,< LOD,22.63,8359.4,102.42,61.68,28.26,< LOD,13.38,44.76,13.89,3058.25,50.93,666,42.66,5938.83,119.3,< LOD,115.23,< LOD,29.07,< LOD,1.94,666367,750430,,,,,,,,,,,,,
53,agric_ref 9b (abira),agric9,ksb69,5.12,rural,222.98,3.48,25.34,1.45,43.81,2.09,1.36,0.68,15.29,3.35,< LOD,3.96,11.35,4.35,< LOD,11.29,< LOD,22.41,8706.08,104.48,< LOD,39.09,< LOD,13.65,42.51,14.2,3088.93,51.99,1245.91,53.59,8731.23,142.56,< LOD,118.16,< LOD,28.86,< LOD,1.92,666362,750404,,,,,,,,,,,,,
54,agric_ref 9c (abira),agric9,ksb69,5.06,rural,159.6,2.99,10.95,1.13,20.63,1.58,1.04,0.63,6.54,2.93,5.29,2.43,9.03,4.22,< LOD,11.25,< LOD,22.85,6826.97,92.57,< LOD,40.31,< LOD,12.54,35.92,12.76,2855.39,47,989.25,44.33,5403.44,109.47,< LOD,109.05,< LOD,29.37,< LOD,1.96,666396,750405,,,,,,,,,,,,,
55,ahinsan 1a,ahinsan1,ksb25,6.42,Long_term,148.71,2.89,12.24,1.16,18.65,1.54,< LOD,0.92,< LOD,4.2,4.93,2.33,12.78,4.37,< LOD,11.15,< LOD,22.61,7119.46,94.24,57.63,27.84,< LOD,12.34,42.32,13.4,3079.41,49.33,2997.26,64.9,4315.28,100.37,< LOD,110.23,< LOD,29.06,< LOD,1.94,655532,737017,,,,,,,,,,,,,
56,ahinsan 1b,ahinsan1,ksb25,6.24,Long_term,194.61,3.35,21.79,1.41,50.32,2.25,1.23,0.69,7,3.09,9.02,2.65,38.77,5.44,< LOD,11.95,< LOD,23.76,16953.72,147.83,95.14,30.8,28.92,10.86,69.19,17.3,3660.67,62.86,2929.12,79.09,8546.84,157.99,< LOD,141.73,< LOD,28.2,< LOD,1.89,655511,737017,,,,,,,,,,,,,
57,ahinsan 1c,ahinsan1,ksb25,6.73,Long_term,176.86,3.21,72.58,2.18,28.73,1.79,< LOD,0.95,10.06,3.13,< LOD,3.77,46.61,5.57,< LOD,11.95,< LOD,22.96,9402.39,108.75,71.63,28.71,< LOD,14.03,51.31,14.7,2949.76,53.6,25911.06,192.06,6455.82,134.45,181.42,104.44,< LOD,28.93,< LOD,1.92,655503,737042,,,,,,,,,,,,,
58,ahinsan 2a,ahinsan2,ksb25,8.02,Long_term,154.55,3.03,16.96,1.3,46.34,2.16,1.22,0.68,9.62,3.18,5.24,2.6,17.44,4.62,< LOD,11.61,< LOD,23.23,12937.97,129.01,< LOD,42.78,< LOD,15.41,53.14,15.5,2868.85,55.55,2256.23,70.16,8029.5,150.62,< LOD,136.26,< LOD,29.36,< LOD,1.96,655598,737068,,,,,,,,,,,,,
59,ahinsan 2b,ahinsan2,ksb25,5.93,Long_term,187.96,3.34,19.24,1.38,65.23,2.54,1.15,0.72,13.36,3.44,< LOD,4.06,35.1,5.4,< LOD,12.21,< LOD,24.5,22369.78,171.32,< LOD,45.08,45.99,12.43,87.38,19.33,3904.23,69.77,980.82,61.83,8163.43,167.95,< LOD,151.05,< LOD,28.63,< LOD,1.92,655585,737053,,,,,,,,,,,,,
60,ahinsan 2c,ahinsan2,ksb25,4.93,Long_term,177.86,3.19,13.12,1.21,39.25,2.03,2.16,0.71,5.96,2.99,4.69,2.46,21.21,4.81,< LOD,11.39,< LOD,23.27,15494,139.92,< LOD,41.92,24.8,11.37,82.25,19,4316.83,69.61,807.24,53.32,6262.62,141.92,< LOD,144.21,< LOD,29.22,< LOD,1.95,655571,737037,,,,,,,,,,,,,
61,ahinsan 3a,ahinsan3,ksb25,6.56,Long_term,203.58,3.35,18.93,1.33,37.89,1.97,< LOD,0.98,7.89,3.05,10.52,2.67,53.33,5.82,< LOD,11.42,< LOD,23.06,10934.59,117.39,85.7,29.01,< LOD,13.7,42,13.23,2594.08,47.67,3186.96,69.56,5187.48,112.42,129.88,80.49,< LOD,27.55,< LOD,1.86,655499,737068,,,,,,,,,,,,,
62,ahinsan 3b,ahinsan3,ksb25,7.69,Long_term,152.47,2.93,15.88,1.25,36.95,1.94,< LOD,0.94,7.75,3,< LOD,3.63,30.69,4.99,< LOD,11.37,< LOD,22.54,10308.25,112.77,< LOD,40.29,< LOD,14.23,46.55,14,2689.35,50.52,4776.99,87.95,7224.61,136.7,< LOD,121.51,< LOD,28.34,< LOD,1.91,655519,737044,,,,,,,,,,,,,
63,ahinsan 3c,ahinsan3,ksb25,6.12,Long_term,191.69,3.3,20.39,1.37,50.3,2.21,1.5,0.69,9.13,3.13,4.29,2.54,19.8,4.75,< LOD,11.27,< LOD,23.07,10467.21,115.73,< LOD,40.52,< LOD,13.65,43.55,13.15,2421.88,46.93,1645.93,56.76,6991.21,129.75,< LOD,118.65,< LOD,27.51,< LOD,1.87,655533,737059,,,,,,,,,,,,,
64,ahinsan 4a,ahinsan4,ksb28,6.4,Long_term,174.15,3.36,49.25,1.97,23.37,1.79,2.43,0.95,170.03,7.75,< LOD,8.78,71.33,6.67,< LOD,12.52,< LOD,25.89,32104.87,210.05,96.36,34.08,73.89,14.22,97.79,22.14,4267.61,79.86,4244.82,104.62,3919.38,134.56,357.31,134.37,< LOD,30.3,< LOD,2.02,655626,737304,,,,,,,,,,,,,
